A,B,D,P,E,,
101|6419062|6421629|6422882|6422883|6425179|6425193|6465646|6465647,8624301,2020-01-16 15:52,2020-01-31 14:36,2020-01-31 15:26,2020-02-06 2:59,재가동 이후 분포가 변함
101|6419062|6421629|6422882|6422883|6425179|6425193|6465646|6465648,8624305,2020-04-17 13:50,2020-04-21 10:15,2020-04-21 18:30,2020-05-06 16:04,재가동 이후 분포가 변함
101|6419062|6421629|6422882|6422883|6425179|6425194|6465649|6465653,8624322,2020-05-06 10:00,2020-05-18 9:29,2020-05-18 10:14,2020-06-01 15:49,재가동 이후 분포가 변함
101|6419062|6421629|6422882|6422883|6425179|6425194|6465649|6465654,8624326,2020-05-06 10:01,2020-05-18 9:29,2020-05-18 10:14,2020-06-01 16:19,재가동 이후 분포가 변함
101|6419062|6421629|6422882|6425223|6425227|6425233|6425246|6469812,8371226,2020-04-03 11:31,2020-04-06 6:54,2020-04-06 17:56,2020-04-06 9:49,
101|6419062|6421629|6422882|6422883|6425179|6425195|6465650|6465656,8624340,,,,,
101|6419062|6421629|6422882|6422883|6425179|6425195|6465650|6465657,8624344,,,,,
101|6419062|6421629|6422882|6422883|6425179|6425196|6425204|6465659,8624348,,,,,
101|6419062|6421629|6422882|6422883|6425179|6425196|6425204|6465660,8624352,,,,,
101|6419062|6421629|6422882|6422883|6425179|6469800|6469805|6469815,8737607,,,,,
101|6419062|6421629|6422882|6422883|6425179|6469800|6469805|6469816,8737612,,,,,
101|6419062|6421629|6422882|6422883|6425179|6469801|6469807|6469818,8737626,,,,,
101|6419062|6421629|6422882|6422883|6425179|6469801|6469807|6469819,8737631,,,,,
101|6419062|6421629|6422882|6422883|6425179|6469802|6469809|6469821,8737645,,,,,
101|6419062|6421629|6422882|6422883|6425179|6469802|6469809|6469822,8737650,,,,,
101|6419062|6421629|6422882|6422883|6425178|6425190|6425208|6470181,8737832,,,,,
101|6419062|6421629|6422882|6422883|6425178|6425190|6425208|6470182,8737837,,,,,
101|6419062|6421629|6422882|6422883|6425178|6425191|6425210|6470184,8737851,,,,,
101|6419062|6421629|6422882|6422883|6425178|6425191|6425210|6470185,8737856,,,,,
101|6419062|6421629|6422882|6422883|6425178|6425192|6425212|6470187,8737870,,,,,
101|6419062|6421629|6422882|6422883|6425178|6425192|6425212|6470188,8737875,,,,,
101|6419062|6421629|6422882|6422883|6425178|6479704|6479706|6479708,8642749,,,,,
101|6419062|6421629|6422882|6422883|6425178|6479704|6479706|6479709,8642752,,,,,
101|6419062|6421629|6422882|6422883|6425177|6425186|6425214|6480548,8822309,,,,,
101|6419062|6421629|6422882|6422883|6425177|6425186|6425214|6480549,8822316,,,,,
101|6419062|6421629|6422882|6422883|6425177|6425187|6425216|6480551,8822343,,,,,
101|6419062|6421629|6422882|6422883|6425177|6425187|6425216|6480552,8822348,,,,,
101|6419062|6421629|6422882|6422883|6425177|6425188|6425218|6480554,8822373,,,,,
101|6419062|6421629|6422882|6422883|6425177|6425188|6425218|6480555,8822378,,,,,
101|6419062|6421629|6422882|6422883|6425177|7925759|7925763|7925764,9329703,,,,,
101|6419062|6421629|6422882|6422883|6425177|7925759|7925763|7925765,9329712,,,,,
101|6419062|6421629|6422882|6422883|6425177|7957157|7957160|7957161,8822095,,,,,
101|6419062|6421629|6422882|6422883|6425177|7957157|7957160|7957162,8822100,,,,,
101|6419062|6421629|6422882|6422883|6425172|6425174|6425176|6477855,8344688,,,,,
101|6419062|6421629|6422882|6422883|6425172|6425174|6425176|6477856,8344689,,,,,
101|6419062|6421629|6422882|6422883|6425172|6425183|6425220|6477857,8344031,,,,,
101|6419062|6421629|6422882|6422883|6425172|6425183|6425220|6477858,8344058,,,,,
101|6419062|6421629|6422882|6422883|6425172|6425184|6425222|6477859,8344381,,,,,
101|6419062|6421629|6422882|6422883|6425172|6425184|6425222|6477860,8344439,,,,,
101|6419062|6421629|6422882|6422883|6549179|7957816|7957820|7957821,9449254,,,,,
101|6419062|6421629|6422882|6422883|6549179|7957816|7957820|7957822,9449257,,,,,
101|6419062|6421629|6422882|6422883|6549179|6549181|6549196|6549462,9161228,,,,,
101|6419062|6421629|6422882|6422883|6549179|6549181|6549196|6549463,9161231,,,,,
101|6419062|6421629|6422882|6422883|6549179|6549182|6549198|6549465,9161290,,,,,
101|6419062|6421629|6422882|6422883|6549179|6549182|6549198|6549466,9161293,,,,,
101|6419062|6421629|6422882|6422883|6549179|6549184|6549200|6549468,9161320,,,,,
101|6419062|6421629|6422882|6422883|6549179|6549184|6549200|6549469,9161325,,,,,
101|6419062|6421629|6422882|6422883|6549179|6549185|6549202|6549471,9161374,,,,,
101|6419062|6421629|6422882|6422883|6549179|6549185|6549202|6549472,9161377,,,,,
101|6419062|6421629|6422882|6422883|6549179|7957817|7957825|7957826,9449267,,,,,
101|6419062|6421629|6422882|6422883|6549179|7957817|7957825|7957827,9449270,,,,,
101|6419062|6421629|6422882|6422883|6549188|8021464|8021466|8021468,9648656,,,,,
101|6419062|6421629|6422882|6422883|6549188|8021464|8021466|8021469,9648659,,,,,
101|6419062|6421629|6422882|6422883|6549188|8021470|8021474|8021475,9648669,,,,,
101|6419062|6421629|6422882|6422883|6549188|8021470|8021474|8021476,9648672,,,,,
101|6419062|6421629|6422882|6422883|6549188|8021471|8021480|8021482,9648682,,,,,
101|6419062|6421629|6422882|6422883|6549188|8021471|8021480|8021483,9648685,,,,,
101|6419062|6421629|6422882|6422883|6549189|6549191|6549205|6549477,9161432,,,,,
101|6419062|6421629|6422882|6422883|6549189|6549191|6549205|6549478,9161435,,,,,
101|6419062|6421629|6422882|6422883|6549189|6549192|6549207|6549480,9161445,,,,,
101|6419062|6421629|6422882|6422883|6549189|6549192|6549207|6549481,9161448,,,,,
101|6419062|6421629|6422882|6422883|6549189|6549193|6549209|6549487,9161458,,,,,
101|6419062|6421629|6422882|6422883|6549189|6549193|6549209|6549488,9161461,,,,,
101|6419062|6421629|6422882|6422883|6549348|8021485|8021491|8021492,9648739,,,,,
101|6419062|6421629|6422882|6422883|6549348|8021485|8021491|8021493,9648742,,,,,
101|6419062|6421629|6422882|6422883|6549348|8021486|8021496|8021497,9648752,,,,,
101|6419062|6421629|6422882|6422883|6549348|8021486|8021496|8021498,9648755,,,,,
101|6419062|6421629|6422882|6422883|6549348|8021488|8021501|8021502,9648765,,,,,
101|6419062|6421629|6422882|6422883|6549348|8021488|8021501|8021503,9648768,,,,,
101|6419062|6421629|6422882|6425223|6425227|6425233|6425246|6469813,8371230,,,,,
101|6419062|6421629|6422882|6425223|6425227|6425234|6425248|6469825,8371265,,,,,
101|6419062|6421629|6422882|6425223|6425227|6425234|6425248|6469826,8371269,,,,,
101|6419062|6421629|6422882|6425223|6425227|6425235|6425250|6469828,8371292,,,,,
101|6419062|6421629|6422882|6425223|6425227|6425235|6425250|6469829,8371296,,,,,
101|6419062|6421629|6422882|6425223|6425227|6469803|6469811|6469831,8526406,,,,,
101|6419062|6421629|6422882|6425223|6425227|6469803|6469811|6469832,8526405,,,,,
101|6419062|6421629|6422882|6425223|6425229|6425236|6425252|6480508,8822033,,,,,
101|6419062|6421629|6422882|6425223|6425229|6425236|6425252|6480509,8822038,,,,,
101|6419062|6421629|6422882|6425223|6425229|6425237|6425254|6480511,8822050,,,,,
101|6419062|6421629|6422882|6425223|6425229|6425237|6425254|6480512,8822055,,,,,
101|6419062|6421629|6422882|6425223|6425229|6425238|6425256|6480514,8822071,,,,,
101|6419062|6421629|6422882|6425223|6425229|6425238|6425256|6480515,8822076,,,,,
101|6419062|6421629|6422882|6425223|6425225|6425259|6425261|6480527,8822113,,,,,
101|6419062|6421629|6422882|6425223|6425225|6425259|6425261|6480528,8822118,,,,,
101|6419062|6421629|6422882|6425223|6425225|6425241|6425263|6480531,8822132,,,,,
101|6419062|6421629|6422882|6425223|6425225|6425241|6425263|6480532,8822137,,,,,
101|6419062|6421629|6422882|6425223|6425225|7925785|7925788|7925798,9325871,,,,,
101|6419062|6421629|6422882|6425223|6425225|7925785|7925788|7925799,9325872,,,,,
101|6419062|6421629|6422882|6425223|6425224|6425242|6425265|6480535,8822150,,,,,
101|6419062|6421629|6422882|6425223|6425224|6425242|6425265|6480537,8822156,,,,,
101|6419062|6421629|6422882|6425223|6425224|6425243|6425267|6480542,8822189,,,,,
101|6419062|6421629|6422882|6425223|6425224|6425243|6425267|6480543,8822194,,,,,
101|6419062|6421629|6422882|6425223|6425224|6425244|6425269|6480545,8822207,,,,,
101|6419062|6421629|6422882|6425223|6425224|6425244|6425269|6480546,8822212,,,,,
101|6419062|6421629|6422882|6425223|6549186|6549211|6549220|6549407,9170130,,,,,
101|6419062|6421629|6422882|6425223|6549186|6549211|6549220|6549409,9170133,,,,,
101|6419062|6421629|6422882|6425223|6549186|6549212|6549222|6549411,9170143,,,,,
101|6419062|6421629|6422882|6425223|6549186|6549212|6549222|6549412,9170146,,,,,
101|6419062|6421629|6422882|6425223|6549186|6549213|6549224|6549414,9170156,,,,,
101|6419062|6421629|6422882|6425223|6549186|6549213|6549224|6549415,9170159,,,,,
101|6419062|6421629|6422882|6425223|6549186|7957828|7957831|7957832,9449294,,,,,
101|6419062|6421629|6422882|6425223|6549186|7957828|7957831|7957833,9449301,,,,,
101|6419062|6421629|6422882|6425223|6549187|8021507|8021512|8021513,9648838,,,,,
101|6419062|6421629|6422882|6425223|6549187|8021507|8021512|8021514,9648841,,,,,
101|6419062|6421629|6422882|6425223|6549187|8021508|8021516|8021518,9648851,,,,,
101|6419062|6421629|6422882|6425223|6549187|8021508|8021516|8021519,9648854,,,,,
101|6419062|6421629|6422882|6425223|6549187|8021509|8021521|8021523,9648864,,,,,
101|6419062|6421629|6422882|6425223|6549187|8021509|8021521|8021524,9648867,,,,,
101|6419062|6421629|6422882|6425223|6549187|8023813|8032100|8032397,9656928,,,,,
101|6419062|6421629|6422882|6425223|6549187|8023813|8032100|8032399,9656931,,,,,
101|6419062|6421629|6422882|6425223|6549194|6549215|6549227|6549443,9161731,,,,,
101|6419062|6421629|6422882|6425223|6549194|6549215|6549227|6549444,9161734,,,,,
101|6419062|6421629|6422882|6425223|6549194|6549216|6549229|6549446,9161744,,,,,
101|6419062|6421629|6422882|6425223|6549194|6549216|6549229|6549447,9161747,,,,,
101|6419062|6421629|6422882|6425223|6549194|6549217|6549231|6549449,9161757,,,,,
101|6419062|6421629|6422882|6425223|6549194|6549217|6549231|6549450,9161760,,,,,
101|6419062|6421629|6422882|6425223|6549347|8021526|8021531|8021532,9648937,,,,,
101|6419062|6421629|6422882|6425223|6549347|8021526|8021531|8021533,9648940,,,,,
101|6419062|6421629|6422882|6425223|6549347|8021527|8021535|8021537,9648950,,,,,
101|6419062|6421629|6422882|6425223|6549347|8021527|8021535|8021538,9648953,,,,,
101|6419062|6421629|6422882|6425223|6549347|8021528|8021540|8021542,9648963,,,,,
101|6419062|6421629|6422882|6425223|6549347|8021528|8021540|8021543,9648966,,,,,
